"country"	"schizophrenia"	"depression"	"anxiety"	"bipolar"	"ed"	"gini"	"decade"	"continent"
"Jordan"	0.25335682	4.3424762	4.82358846666667	0.7846499	0.175738323333333	0.34461441	"2000-2009"	"Asia"
"Jordan"	0.25375903	4.138052	4.8592014	0.7839044	0.18591112	0.3365573	"2010-2019"	"Asia"
"Kazakhstan"	0.273528725	3.4744736	2.1216836	0.5075955	0.126150725	0.34022021	"1990-1999"	"Asia"
"Kazakhstan"	0.274377895555556	3.50797117777778	2.12182131111111	0.507724425555556	0.129663913777778	0.325738936666667	"2000-2009"	"Asia"
"Kazakhstan"	0.281159511	3.44844045	2.1128935	0.507564195	0.155284542	0.275428889	"2010-2019"	"Asia"
"Malaysia"	0.303038873333333	3.24123676666667	4.45680256666667	0.339710266666667	0.11738935	0.48442011	"1990-1999"	"Asia"
"Malaysia"	0.30833414	3.40404666666667	4.5567674	0.3395921	0.13016486	0.455494173333333	"2000-2009"	"Asia"
"Malaysia"	0.3123345025	3.567902575	4.596699425	0.3394695075	0.14179816	0.418838995	"2010-2019"	"Asia"
"Mongolia"	0.26264539	4.05748325	2.1090493	0.499722565	0.096538522	0.31733651	"1990-1999"	"Asia"
"Mongolia"	0.2641807	4.0796525	1.9568588	0.49986056	0.10090058	0.34357409	"2000-2009"	"Asia"
"Mongolia"	0.268812916666667	4.0153479	1.94984803333333	0.499939738333333	0.12106834	0.329734746666667	"2010-2019"	"Asia"
"Nepal"	0.27343073	4.580884	2.960585	0.3851542	0.083375245	0.35207018	"1990-1999"	"Asia"
"Nepal"	0.27257276	5.0665555	2.9890478	0.38507098	0.08704289	0.43768105	"2000-2009"	"Asia"
"Nepal"	0.2701684	5.222565	3.088127	0.38449743	0.09234788	0.32840586	"2010-2019"	"Asia"
"Pakistan"	0.283365346666667	3.99173903333333	3.34374546666667	0.388374206666667	0.101052473333333	0.31678773	"1990-1999"	"Asia"
"Pakistan"	0.281736705	3.964747575	3.37790125	0.3882093975	0.10389174	0.3011747075	"2000-2009"	"Asia"
"Pakistan"	0.279581734	3.83471108	3.4354687	0.388005644	0.113639076	0.297775854	"2010-2019"	"Asia"
"Papua New Guinea"	0.2716435	3.173281	3.9258711	0.263484	0.07585457	0.45765835	"1990-1999"	"Asia"
"Papua New Guinea"	0.27093145	3.0993109	3.946071	0.26359385	0.07450198	0.41850442	"2000-2009"	"Asia"
"Philippines"	0.283649263333333	3.00035443333333	4.4828362	0.337123246666667	0.0874226066666667	0.442247156666667	"1990-1999"	"Asia"
"Philippines"	0.2848127325	2.7681131	4.508416925	0.337057	0.08936767	0.422283275	"2000-2009"	"Asia"
"Philippines"	0.289653156666667	2.7584104	4.54699566666667	0.3369763	0.09839209	0.401291776666667	"2010-2019"	"Asia"
"Sri Lanka"	0.28686908	3.35266625	3.8193377	0.335503135	0.0839400475	0.339234855	"1990-1999"	"Asia"
"Sri Lanka"	0.29158478	2.92270983333333	3.87828083333333	0.33557712	0.096818727	0.386316926666667	"2000-2009"	"Asia"
"Sri Lanka"	0.29847352	2.8528998	3.99198706666667	0.33558644	0.113966433333333	0.385743856666667	"2010-2019"	"Asia"
"Syria"	0.24621996	4.0302014	5.2837462	0.76748157	0.1476138	0.3516938	"1990-1999"	"Asia"
"Syria"	0.245623013333333	3.96295533333333	5.3196819	0.7667703	0.157921413333333	0.3935221	"2000-2009"	"Asia"
"Taiwan"	0.296068606666667	2.4806572	3.7674308	0.193941326666667	0.13265946	0.307045933333333	"1990-1999"	"Asia"
"Taiwan"	0.300645866666667	2.55643803333333	3.69943926666667	0.19389365	0.149763546666667	0.318052093333333	"2000-2009"	"Asia"
"Taiwan"	0.31150477	2.57452333333333	3.65094286666667	0.193801296666667	0.167713903333333	0.319549391666667	"2010-2019"	"Asia"
"Tajikistan"	0.26134163	2.869711	2.3711233	0.5161366	0.07392668	0.2953486	"1990-1999"	"Asia"
"Tajikistan"	0.261035755	2.808845275	2.368957	0.51605423	0.07550479	0.323196595	"2000-2009"	"Asia"
"Tajikistan"	0.2630972	2.7887883	2.3990412	0.5160451	0.0855128	0.3399559	"2010-2019"	"Asia"
"Thailand"	0.289531808333333	2.87530188333333	3.28361643333333	0.329856983333333	0.1028439295	0.440076866666667	"1990-1999"	"Asia"
"Thailand"	0.293490241428571	2.91227257142857	3.29786097142857	0.329798542857143	0.113723374428571	0.412555085714286	"2000-2009"	"Asia"
"Thailand"	0.29849714	2.86845166	3.35965935	0.329788168	0.126321813	0.371526906	"2010-2019"	"Asia"
"Turkmenistan"	0.26819605	3.194707	2.2801442	0.50673205	0.10322536	0.40806928	"1990-1999"	"Asia"
"Uzbekistan"	0.26426944	3.2757328	2.0304024	0.51133955	0.088814504	0.44268507	"1990-1999"	"Asia"
"Uzbekistan"	0.264444323333333	3.25358166666667	2.03134196666667	0.511345083333333	0.0888164313333333	0.347696963333333	"2000-2009"	"Asia"
"Vietnam"	0.309151225	2.5921527	2.26896615	0.33682835	0.064216305	0.35548104	"1990-1999"	"Asia"
"Vietnam"	0.3146168625	2.539908725	2.051061675	0.336345635	0.0747249475	0.3629359625	"2000-2009"	"Asia"
"Vietnam"	0.319881564	2.4773831	2.18504204	0.336163812	0.086996113	0.36127255	"2010-2019"	"Asia"
"Yemen"	0.23171146	4.9171743	4.7822328	0.7252076	0.13032293	0.34997785	"1990-1999"	"Asia"
"Yemen"	0.23222741	4.9030304	4.799882	0.7255424	0.13677464	0.34732336	"2000-2009"	"Asia"
"Yemen"	0.23019518	4.8926992	4.7816076	0.72586876	0.14137065	0.36707094	"2010-2019"	"Asia"
"Albania"	0.28047624	2.4019294	3.6875575	0.541907	0.09891043	0.27010342	"1990-1999"	"Europe"
"Albania"	0.282726936666667	2.4628222	3.72426146666667	0.542539776666667	0.112447446666667	0.307731013333333	"2000-2009"	"Europe"
"Albania"	0.286995802857143	2.44571431428571	3.8134969	0.542151297142857	0.132311918571429	0.319098748571429	"2010-2019"	"Europe"
"Armenia"	0.27417108	2.8251457	3.1428475	0.5419485	0.08917149	0.36219725	"1990-1999"	"Europe"
"Armenia"	0.27713111	2.87584028888889	3.15612874444444	0.542009431111111	0.100183460111111	0.327566856666667	"2000-2009"	"Europe"
"Armenia"	0.280951492	2.94154739	3.1501086	0.541721938	0.1207516065	0.314002015	"2010-2019"	"Europe"
"Austria"	0.275189446666667	3.50128155	5.79048858333333	0.901671918333333	0.456979521666667	0.30022806	"1990-1999"	"Europe"
